"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
225 3 2 1 1 8 NA 1 1 1 1 35
225 4 NA 1 1 14 5 1 1 1 1 35
226 2 1 1 NA NA NA NA 2 1 1 34
226 3 1 NA 1 1 3 NA 2 1 1 34
227 2 1 2 1 34 5 NA 1 2 1 62
227 3 2 NA NA 42 12 NA 1 2 1 62
228 2 NA 1 1 NA 2 NA 1 NA 1 56
228 3 2 1 1 NA NA NA 1 NA 1 56
229 2 2 NA NA 50 7 2 2 1 NA 24
230 2 2 NA 1 75 2 NA 1 1 1 62
230 3 1 1 NA 50 NA NA 1 1 1 62
231 2 NA 1 1 47 12 1 NA 1 1 42
232 2 1 NA 1 NA NA 2 NA NA 1 54
233 2 2 2 NA 6 3 2 NA 2 NA 27
233 3 1 2 1 5 3 2 NA 2 NA 27
233 4 1 NA 1 2 3 2 NA 2 NA 27
234 2 2 2 NA 44 2 1 NA NA 1 61
234 3 NA 2 1 14 5 1 NA NA 1 61
235 2 2 8 NA 22 12 NA NA 1 1 33
236 2 2 1 NA 66 2 NA 1 1 NA 76
236 3 NA 1 1 41 3 NA 1 1 NA 76
237 2 NA 7 5 61 7 NA 1 NA 5 29
237 3 2 7 5 NA 7 NA 1 NA 5 29
238 2 NA 1 1 50 2 NA 1 NA 1 51
239 2 2 NA NA 7 NA NA NA 1 NA 53
240 2 2 1 1 NA 2 1 1 1 NA 26
241 2 NA 1 4 75 2 1 1 NA 4 79
242 2 2 1 1 NA NA 1 1 1 NA 41
242 3 2 1 1 6 3 1 1 1 NA 41
242 4 2 1 1 NA 4 1 1 1 NA 41
243 2 2 1 1 35 3 NA 2 1 1 59
243 3 2 1 NA 3 8 NA 2 1 1 59
243 4 1 NA 1 NA 10 NA 2 1 1 59
244 2 2 NA 1 24 3 2 NA 2 1 44
244 3 1 2 1 18 3 2 NA 2 1 44
244 4 2 2 1 14 NA 2 NA 2 1 44
245 2 NA NA 1 71 NA 1 2 NA 1 78
246 2 NA NA NA 50 2 1 1 NA NA 50
247 2 NA 1 1 NA NA 1 2 NA 1 32
248 2 NA 2 NA NA 3 2 2 2 1 48
249 2 1 NA 1 34 6 NA 1 2 1 45
250 2 NA 1 NA 25 3 NA 2 NA NA 58
251 2 2 2 NA 45 2 2 1 1 1 41
252 2 NA 1 1 4 3 NA 2 1 1 33
253 2 NA NA 1 36 NA NA 1 NA 1 38
254 2 2 1 NA 56 12 1 1 1 NA 57
255 2 NA 8 1 68 2 1 1 1 NA 65
256 2 NA NA 1 55 2 1 1 1 NA 54
257 2 NA 1 NA NA 2 NA 2 1 1 26
258 2 2 1 1 NA 2 1 1 1 1 33
258 3 2 NA NA 6 3 1 1 1 1 33
258 4 1 NA 1 3 3 1 1 1 1 33
259 2 2 NA NA NA NA 1 1 1 1 34
259 3 NA 1 1 1 NA 1 1 1 1 34
