"id"	"sire"	"dam"	"sex"	"gen"	"birth"	"exit"	"age"
"SA1ZC1"	NA	NA	"M"	0	1968-12-27	1986-09-17	17.7
"XXHO10"	NA	NA	"F"	0	1967-12-17	1994-09-14	26.7
"TKZGEO"	NA	NA	"F"	0	1970-12-26	1989-09-12	18.7
"JTIEUL"	NA	NA	"F"	0	1970-01-03	1991-05-17	21.4
"LG9I3M"	NA	NA	"F"	0	1969-12-16	1989-10-25	19.9
"6MXDVM"	NA	NA	"F"	0	1970-12-08	2002-02-27	31.2
"716P7O"	NA	NA	"M"	0	1975-01-30	1997-11-15	22.8
"PB77AE"	NA	NA	"F"	0	1970-12-16	2004-03-17	33.3
"C09A7K"	NA	NA	"M"	0	1972-12-25	1990-10-27	17.8
"CCL1JY"	NA	NA	"F"	0	1975-01-29	1992-04-20	17.2
"I0BFDD"	NA	NA	"M"	0	1971-01-08	1989-12-23	19
"D5J626"	NA	NA	"F"	0	1976-01-30	1992-01-03	15.9
"BD41WW"	NA	NA	"F"	0	2005-06-17	NA	14
"QJ2BQ1"	NA	NA	"M"	0	1975-01-04	1990-12-31	16
"L7I2R4"	NA	NA	"F"	0	1978-12-30	1998-08-05	19.6
"UG5VGC"	NA	NA	"M"	0	NA	NA	NA
"UDY8AD"	NA	NA	"M"	0	NA	NA	NA
"U20H78"	NA	NA	"M"	0	NA	NA	NA
"US0UGA"	NA	NA	"M"	0	NA	NA	NA
"UYLDPW"	NA	NA	"M"	0	NA	NA	NA
"U2Y0HA"	NA	NA	"M"	0	NA	NA	NA
"ULYO4W"	NA	NA	"M"	0	NA	NA	NA
"UAP89R"	NA	NA	"M"	0	NA	NA	NA
"UFACXC"	NA	NA	"M"	0	NA	NA	NA
"U0SIXT"	NA	NA	"M"	0	NA	NA	NA
"UYVHER"	NA	NA	"M"	0	NA	NA	NA
"UPR4NB"	NA	NA	"M"	0	NA	NA	NA
"UAJJG4"	NA	NA	"M"	0	NA	NA	NA
"U7F4QJ"	NA	NA	"M"	0	NA	NA	NA
"UA2A8P"	NA	NA	"M"	0	NA	NA	NA
"UYNXK3"	NA	NA	"M"	0	NA	NA	NA
"UZ3E2X"	NA	NA	"M"	0	NA	NA	NA
"U05X3C"	NA	NA	"M"	0	NA	NA	NA
"UHFZSP"	NA	NA	"M"	0	NA	NA	NA
"UAN0KT"	NA	NA	"M"	0	NA	NA	NA
"UP4NEJ"	NA	NA	"M"	0	NA	NA	NA
"UVYHUB"	NA	NA	"M"	0	NA	NA	NA
"UYCMN8"	NA	NA	"M"	0	NA	NA	NA
"UMSQ78"	NA	NA	"M"	0	NA	NA	NA
"UBP2JP"	NA	NA	"M"	0	NA	NA	NA
"UHQAUO"	NA	NA	"M"	0	NA	NA	NA
"UBDYV1"	NA	NA	"M"	0	NA	NA	NA
"UI9CUS"	NA	NA	"M"	0	NA	NA	NA
"UI8ZYL"	NA	NA	"M"	0	NA	NA	NA
"UN3A1F"	NA	NA	"M"	0	NA	NA	NA
"UIZOGX"	NA	NA	"M"	0	NA	NA	NA
"UKK94T"	NA	NA	"M"	0	NA	NA	NA
"USTIH0"	NA	NA	"M"	0	NA	NA	NA
"UKKA3A"	NA	NA	"M"	0	NA	NA	NA
"UFDBW8"	NA	NA	"M"	0	NA	NA	NA
"U7857R"	NA	NA	"M"	0	NA	NA	NA
"U9XL1J"	NA	NA	"M"	0	NA	NA	NA
"U0M96T"	NA	NA	"M"	0	NA	NA	NA
"UEUTPE"	NA	NA	"M"	0	NA	NA	NA
"UL1ZA5"	NA	NA	"M"	0	NA	NA	NA
"U52NT8"	NA	NA	"M"	0	NA	NA	NA
"UHR4CA"	NA	NA	"M"	0	NA	NA	NA
"UONB0Y"	NA	NA	"M"	0	NA	NA	NA
"K0ACWS"	"UDY8AD"	"2FU86J"	"F"	1	1992-03-08	2008-11-07	16.7
"L42X7I"	"U05X3C"	"YOVEJ0"	"F"	1	1998-09-17	2011-06-19	12.8
"N2XF08"	"P9GZ32"	"HKOSVZ"	"M"	1	1967-04-16	1985-06-13	18.2
"2FUS6G"	"UI9CUS"	"YKG4ZM"	"F"	1	1980-08-28	1999-08-03	18.9
"E5BLUE"	"UP4NEJ"	"ZYTIYY"	"F"	1	1980-08-22	1998-11-18	18.2
"3CQZ3E"	"UONB0Y"	"MBJMH1"	"F"	1	1981-09-22	2001-11-04	20.1
"6OL4PZ"	"UI8ZYL"	"XAFYGN"	"F"	1	1982-07-13	2006-03-20	23.7
"HXLFQ8"	"UVYHUB"	"6H17B7"	"F"	1	1984-12-28	2005-08-01	20.6
"0K7VJN"	"UN3A1F"	"YAYD44"	"M"	1	1975-12-01	1993-03-30	17.3
"WQQTQB"	"UIZOGX"	"4LFS70"	"F"	1	1976-06-19	2003-05-11	26.9
"5EP5AL"	"HB9B30"	"I31V3S"	"M"	1	1976-09-30	1994-04-30	17.6
"DJ6AD1"	"ONA6E5"	"1B71NB"	"F"	1	1977-04-13	2003-03-25	25.9
"GJ39EY"	"ONA6E5"	"ZQ0DRX"	"F"	1	1977-05-02	2003-02-11	25.8
"6MIRJI"	"UKK94T"	"596J7E"	"F"	1	1977-05-20	1996-05-06	19
"PU7JEL"	"USTIH0"	"IU065S"	"F"	1	1978-03-04	1994-06-17	16.3
"MPAZXU"	"0RZ5LL"	"6EJ6RI"	"F"	1	1978-04-03	2005-06-27	27.2
"ZWBMTP"	"HRBVOE"	"RD6KMA"	"M"	1	1978-07-11	1999-02-23	20.6
"168Q0A"	"HRBVOE"	"P4CQ2T"	"M"	1	1978-10-29	1993-09-15	14.9
"AD0UE1"	"HRQJQR"	"XHP9KQ"	"F"	1	1978-12-12	2005-03-15	26.3
"G6P0W4"	"HRQJQR"	"0DXI08"	"F"	1	1979-02-02	2000-04-15	21.2
"QDY8I7"	"ODSV6N"	"TWWT1N"	"M"	1	1979-02-07	1999-01-04	19.9
"6IPOZK"	"HRQJQR"	"F50D26"	"F"	1	1979-02-09	2005-06-03	26.3
"L8SZ2V"	"9Z9TIJ"	"CNPGS5"	"F"	1	1979-06-12	1998-10-25	19.4
"JNWPY2"	"MQB1AE"	"ZXJQQ5"	"F"	1	1979-09-24	2002-09-03	22.9
"OTAC9O"	"HRBVOE"	"RD6KMA"	"F"	1	1979-12-18	2002-01-25	22.1
"K0M40I"	"H7R5WN"	"KK179H"	"F"	1	1979-11-17	2004-05-02	24.5
"YHI773"	"H7R5WN"	"PZQW1J"	"F"	1	1980-03-18	2005-08-14	25.4
"96W7N8"	"HRQJQR"	"KG1JSQ"	"M"	1	1980-05-04	2002-07-19	22.2
"F0YSEE"	"SA1ZC1"	"ZXJQQ5"	"M"	1	1980-10-16	1999-02-22	18.4
"3O7TMT"	"WORLYK"	"FHY041"	"F"	1	1981-09-15	2001-01-13	19.3
"V2FEN9"	"K52Y6D"	"ZSDDUI"	"F"	1	1982-02-25	2000-05-10	18.2
"DXI1AO"	"TNDED2"	"XXHO10"	"M"	1	1982-02-26	2002-10-30	20.7
"RJI1ET"	"716P7O"	"9AZMHA"	"F"	1	1982-03-24	2002-09-19	20.5
"4WB10I"	"HB9B30"	"81KHJN"	"F"	1	1982-03-30	2003-06-18	21.2
"TINMGJ"	"UKKA3A"	"6MXDVM"	"F"	1	1984-02-04	2008-05-10	24.3
"OY032S"	"OC8QQZ"	"TKZGEO"	"F"	1	1984-09-27	2005-07-27	20.8
"KVPYE4"	"HRBVOE"	"GCXT5X"	"F"	1	1985-01-04	2003-02-13	18.1
"8UJYVM"	"UAP89R"	"TOWLS9"	"M"	1	2004-12-12	NA	14.5
"RJR1UZ"	"716P7O"	"7SXL07"	"M"	1	1986-01-05	2007-07-11	21.5
"JPKPJC"	"UFDBW8"	"OOJ8A6"	"F"	1	1986-03-07	2006-11-23	20.7
"DHCUI7"	"HRQJQR"	"SEZCEY"	"F"	1	1986-09-28	2011-02-07	24.4
"BVFJGE"	"U7857R"	"QPY0LL"	"F"	1	1986-12-08	2006-12-14	20
"CJ49U3"	"C09A7K"	"60D5ZA"	"F"	1	1987-04-06	1999-05-23	12.1
"0NG81L"	"OC8QQZ"	"LG9I3M"	"M"	1	1987-10-13	2009-12-13	22.2
"9E7NWO"	"U9XL1J"	"CNPGS5"	"F"	1	1987-11-11	2002-12-12	15.1
